Date,occur_time,poss_date,poss_time,MaxOfnum_victims,Avg Day,UC2 Literal,neighborhood,x,y
11/25/17,0:00:00,11/25/17,16:45:00,1,Fri,AGG ASSAULT,Lindbergh/Morosgo,-84.3637,33.82655
11/24/17,0:00:00,11/24/17,3:46:00,1,Fri,LARCENY-FROM VEHICLE,Morningside/Lenox Park,-84.36578,33.81235
11/24/17,0:00:00,11/18/17,0:00:00,1,Fri,LARCENY-NON VEHICLE,Edgewood,-84.34889,33.75065
11/23/17,0:00:00,11/23/17,7:00:00,1,Thu,BURGLARY-RESIDENCE,Southwest,-84.49711,33.69801
11/21/17,0:00:00,11/19/17,1:00:00,1,Sun,LARCENY-NON VEHICLE,Buckhead Forest,-84.37832,33.84175
11/19/17,0:00:00,11/19/17,13:43:00,1,Unk,BURGLARY-RESIDENCE,Orchard Knob,-84.37316,33.67159
11/19/17,0:00:00,11/19/17,13:43:00,1,Sun,LARCENY-FROM VEHICLE,Glenrose Heights,-84.38816,33.66145
11/19/17,0:00:00,11/18/17,19:00:00,1,Sat,AUTO THEFT,Sweet Auburn,-84.37407,33.75296
11/18/17,0:00:00,11/18/17,14:30:00,1,Sat,BURGLARY-RESIDENCE,Sylvan Hills,-84.42295,33.71415
11/17/17,0:00:00,11/17/17,19:18:00,1,Unk,AUTO THEFT,Blair Villa/Poole Creek,-84.37954,33.6557
11/16/17,0:00:00,11/16/17,0:00:00,1,Unk,AUTO THEFT,West End,-84.41662,33.73847
11/15/17,0:00:00,11/14/17,23:00:00,1,Unk,AUTO THEFT,Lake Claire,-84.32826,33.76637
11/14/17,0:00:00,11/14/17,8:00:00,1,Tue,AUTO THEFT,Arden/Habersham,-84.40343,33.8369
11/13/17,0:00:00,11/13/17,8:09:00,1,Sun,BURGLARY-RESIDENCE,Rebel Valley Forest,-84.35872,33.68945
11/12/17,0:00:00,11/12/17,0:15:00,1,Sun,LARCENY-NON VEHICLE,Peachtree Heights West,-84.3827,33.83996
11/12/17,0:00:00,11/12/17,1:11:00,1,Sun,LARCENY-FROM VEHICLE,Sylvan Hills,-84.41018,33.7008
11/11/17,0:00:00,11/11/17,0:56:00,1,Sat,LARCENY-FROM VEHICLE,Loring Heights,-84.4032,33.79249
11/8/17,0:00:00,11/8/17,0:05:00,1,Wed,LARCENY-NON VEHICLE,Midtown,-84.38329,33.77155
11/6/17,0:00:00,11/6/17,13:00:00,1,Mon,LARCENY-NON VEHICLE,Grove Park,-84.45386,33.76485
11/5/17,0:00:00,11/5/17,1:30:00,1,Sun,LARCENY-FROM VEHICLE,Old Fourth Ward,-84.37056,33.75234
11/5/17,0:00:00,11/5/17,7:00:00,1,Sun,BURGLARY-RESIDENCE,Druid Hills,-84.34073,33.7727
11/4/17,0:00:00,11/4/17,10:30:00,1,Sat,LARCENY-FROM VEHICLE,Morningside/Lenox Park,-84.3522,33.79077
11/3/17,0:00:00,11/3/17,0:20:00,1,Fri,AUTO THEFT,Midwest Cascade,-84.52819,33.72734
11/2/17,0:00:00,11/2/17,2:00:00,1,Thu,LARCENY-FROM VEHICLE,Piedmont Heights,-84.36951,33.79668
11/2/17,0:00:00,11/2/17,10:00:00,1,Thu,LARCENY-FROM VEHICLE,Pine Hills,-84.3563,33.8278
10/31/17,0:00:00,10/31/17,13:36:00,1,Tue,AUTO THEFT,Southwest,-84.49234,33.69149
10/30/17,0:00:00,10/30/17,3:00:00,1,Unk,BURGLARY-NONRES,Atlanta Industrial Park,-84.49623,33.79739
10/29/17,0:00:00,10/29/17,1:18:00,2,Sun,LARCENY-FROM VEHICLE,Downtown,-84.37938,33.75448
10/28/17,0:00:00,10/27/17,0:00:00,1,Thu,LARCENY-FROM VEHICLE,Piedmont Heights,-84.36825,33.79848
10/28/17,0:00:00,10/28/17,1:27:00,1,Sat,AGG ASSAULT,Mechanicsville,-84.39829,33.74332
