DATE,,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYStationPressure,,DAILYSunrise,DAILYSunset
1/2/17 15:00,,BKN:07 4 OVC:08 90,2,55,93,6,29.22,,743,1741
1/2/17 15:51,,BKN:07 3 OVC:08 90,2,55,94,0,29.22,,743,1741
1/2/17 15:53,,BKN:07 3 OVC:08 90,2,55,93,3,29.21,,743,1741
1/2/17 16:08,,BKN:07 3 OVC:08 75,2,55,93,6,29.19,,743,1741
1/2/17 16:51,,BKN:07 3 BKN:07 75 OVC:08 95,4,54,100,5,29.18,,743,1741
1/2/17 16:53,,BKN:07 3 BKN:07 75 OVC:08 100,4,54,97,5,29.18,,743,1741
1/2/17 17:01,,SCT:04 4 SCT:04 75 OVC:08 100,3,54,97,3,29.19,,743,1741
1/2/17 17:08,,BKN:07 3 BKN:07 75 OVC:08 100,3,54,97,0,29.19,,743,1741
1/2/17 17:51,,OVC:08 9,4,54,100,0,29.19,,743,1741
1/2/17 17:53,,OVC:08 9,4,54,97,0,29.19,,743,1741
1/2/17 18:07,,OVC:08 9,3,54,97,0,29.2,,743,1741
1/2/17 18:16,,OVC:08 20,3,54,97,0,29.2,,743,1741
1/2/17 18:44,,OVC:08 20,4,54,97,3,29.17,,743,1741
1/2/17 18:53,,OVC:08 20,4,56,93,0,29.17,,743,1741
1/2/17 19:00,,SCT:04 20 OVC:08 40,5,55,93,6,29.15,,744,1742
1/2/17 19:10,,SCT:04 20 OVC:08 40,5,55,93,0,29.16,,744,1742
1/2/17 19:53,,SCT:04 20 OVC:08 40,5,55,96,0,29.14,,744,1742
1/2/17 20:00,,BKN:07 4 OVC:08 80,7,55,93,5,29.13,,744,1742
1/2/17 20:43,,BKN:07 4 BKN:07 60 OVC:08 80,2,55,93,3,29.13,,744,1742
1/2/17 20:53,,BKN:07 4 BKN:07 60 OVC:08 80,2,55,96,3,29.13,,744,1742
1/2/17 21:19,,BKN:07 4 BKN:07 38 OVC:08 50,4,55,93,3,29.12,,744,1742
1/2/17 21:51,,FEW:02 4 BKN:07 35 OVC:08 80,4,55,94,7,29.11,,744,1742
1/2/17 21:53,,FEW:02 5 BKN:07 35 OVC:08 75,5,56,93,6,29.11,,744,1742
1/2/17 22:53,,FEW:02 3 SCT:04 43 OVC:08 80,6,56,93,3,29.11,,744,1742
